title,cost,new_used_or_certified,year,mileage,car_make,scrape_date
Used 2008 Nissan Xterra S,9088,Used,2008,"31,953 miles",NaN,11/9/2022
Used 2018 Ford Explorer XLT,28995,Used,2018,89 miles,NaN,11/9/2022
New 2022 Chevrolet Silverado 1500 Custom,42620,New,2022,0,NaN,11/9/2022
New 2022 GMC Sierra 1500 Elevation,299900,New,2022,0,NaN,11/9/2022
Used 2022 Porsche 911 GT3,230000,Used,2022,10 miles,NaN,11/9/2022
Used 2019 Ferrari Portofino,189891,Used,2019,"65,594 miles",NaN,11/9/2022
Used 2022 Land Rover Range Rover SE,175000,Used,2022,"29,831 miles",NaN,11/9/2022
Used 2022 Lexus LX 600 4WD,12975,Used,2022,"6,500 miles",NaN,11/9/2022
Used 2013 FIAT 500 Abarth,140705,Used,2013,"8,338 miles",NaN,11/9/2022
New 2023 Cadillac Escalade ESV Sport Platinum,129756,New,2023,0,NaN,11/9/2022
Used 2000 Ferrari 360 Modena,124000,Used,2000,0,NaN,11/9/2022
Used 2017 Nissan GT-R Premium,123449,Used,2017,0,NaN,11/9/2022
Used 2021 Ford F250 Lariat,122070,Used,2021,0,NaN,11/9/2022
New 2023 Cadillac Escalade ESV Sport,120710,New,2023,0,NaN,11/9/2022
New 2023 Cadillac Escalade ESV Sport,103640,New,2023,0,NaN,11/9/2022
New 2023 Audi SQ8 Premium Plus,101805,New,2023,0,NaN,11/9/2022
New 2023 Cadillac CT5 V Blackwing,99971,New,2023,0,NaN,11/9/2022
Used 2022 Ford F250 Lariat,95115,Used,2022,0,NaN,11/9/2022
New 2023 Audi Q8 Prestige,94820,New,2023,0,NaN,11/9/2022
New 2022 RAM 1500 TRX,91777,New,2022,0,NaN,11/9/2022
New 2023 GMC Sierra 3500 AT4,91545,New,2023,0,NaN,11/9/2022
New 2023 Chevrolet Tahoe High Country,90855,New,2023,0,NaN,11/9/2022
New 2022 Ford F350 4x4 Crew Cab DRW Super Duty,90405,New,2022,0,NaN,11/9/2022
New 2023 GMC Sierra 2500 Denali,90385,New,2023,0,NaN,11/9/2022
New 2023 GMC Sierra 1500 Denali Ultimate,89785,New,2023,0,NaN,11/9/2022
New 2023 Audi Q8 Prestige,89765,New,2023,0,NaN,11/9/2022
New 2023 GMC Yukon XL Denali,89600,New,2023,0,NaN,11/9/2022
New 2022 Ford F250 4x4 Crew Cab Super Duty,89155,New,2022,0,NaN,11/9/2022
Used 2013 Ford Explorer FWD,12498,Used,2013,89 miles,NaN,11/9/2022
New 2022 INFINITI QX80 Luxe,72491,New,2022,0,NaN,11/9/2022
New 2022 Chevrolet Silverado 1500 Custom,40703,New,2022,0,NaN,11/9/2022
New 2022 GMC Sierra 1500 Elevation,299900,New,2022,0,NaN,11/9/2022
Used 2022 Porsche 911 GT3,230000,Used,2022,890 miles,NaN,11/9/2022
Used 2019 Ferrari Portofino,189891,Used,2019,"29,831 miles",NaN,11/9/2022
